clean_text,sentimen
salah fasilitas pemeritahan yogyakarta bagi gedung entrance milik ruang manfaat galeri mini gedung graha lengkap fasilitas amphitheater ruang indoor amphitheater hall pamer area sisi barat timur sedia dukung aktivitas ruang outdoor fasilitas sedia unjung area parkir latar gedung entrance luas bbrp mobil bus motor fasilitas dukung cakup kios cenderamata musholla jalur pedestrian terang jalan suka masyarakat yogyakarta giat olahraga pagi sore,positif
belum resmi suasana syahdu diskus sore sembari nikmat suasana sejuk mata,positif
cocok olahraga gedung nya bagus,positif
area publik selatan,positif
tempat bagus banget aesthetic foto malem ya,positif
salah bagus jalan pagi jogging,positif
salah destinasi olahraga pagi sorejogging lari pagi pandang bangun model jaman manja mata olahraga tempat bersih luas,positif
kesini jogging bersih asri toilet temen difabel,positif
vibes nya keren banget tidak ramai syahdu banget pagi senja jogging jalan muterin jamin tidak rasa lg olahraga,positif
mantap,positif
tempat nyaman parkir luas tunjuk yogyakarta culture shownya seru,positif
tempat bagus natal tempat bersih belum warungwarung warungwarung aktif minggu sunmore pasar minggu arsitektur bangunanbangunan bagus awat inovatif tarik,positif
undang saksi culture terimakasih,positif
yogyakarta untk nikmat pentas seni olahraga aktivitas momong anak,positif
singgah sebentar fasilitas dalam mushala toilet pakai aktivitas ruang,positif
asik joging,positif
bagus,positif
cocok joging ato jalan santai nikmat pandang jajan live music minggu,positif
sih tempat tidak nyangka auditorium kapasitas kayak skitar org deh halaman super luas parkir mobil leluasa mes becek hujan parkir auditorium,positif
bagus bersih nyaman teater olahraga,positif
luas jalan,positif
place for fun walk or morning joging,positif
ramai libur,positif
olahraga makan jajan sosial syahdu tenan,positif
anyar,positif
bersih nyaman,positif
kesini malem minggu tidak event lenggang tunjuk yogyakarta culture show bagus rame nnton loket buka sampe jam stgh malem dar jalan sekitar bayar tarif parkir nonton tunjuk tiket tempat luas bersih bagus ala bangun belanda gtu tema putih jogging pagi oke banget si foto oke tmptnya instagramable,positif
luas cocok event wedding gathering event olahraga,positif
among all the entertainment choices we chose to experience local culture at the yogyakarta culture show usung jawa mistis cinta komedi banget pilih tunjuk beda had an amazing time the show was super entertaining jadwal informasi beli tiket instagram jogjacultureshow jumat desember kemarin tiket rapi parkir motor rapi mobil rapi kali seru tari drama komedi holidayvibes jogjatrip traveling weekendvibes liburanjogja jogjahits yogyakarta hiddengems cultureshow hospitality,positif
bagus tempat cocok jalan sore suasana nyaman,positif
mode aesthetic,positif
enak olahraga jalanjalan keluarga,positif
kati tinggal wilayah track jogging nya super nyaman nyesel tidak area luas danau keliling track jogging jogging lihat pandang jogging tidak dimintain tiket masuk bayar parkir pakai acara mentas yogyakarta culture show kadang indoor kadang outdoor studio indoornya udah oke banget standar kunjung wisawatan domestik design bangun manja mata sedia toilet mushola warung dalem jual minum makan ringan tidak takut haus lapar tinggal poles dikit rawat tanam banyak udah keren dateng wajib bantu jaga bersih tetep good job penanggungjawab pugar selamat coba,positif
tempat luas tidak event olahraga badminton senam lari,positif
kali kesini nemenin anakanak tempat bagus luas bersih pulang kertas parkir hilang kocek tidak suruh stnk gimana langsung kena denda hatihati parkir jaga kertas struk parkir baikbaik biar nggak kena denda wkwkwkwk tarif jam sangu sing akeh ges,negatif
sayang parkir bayar gratis,positif
seru nyaman jogging lari healing,positif
enak santai giat olahraga,positif
like this place,positif
kali datangin yogyakarta,positif
bagus joging,positif
jalan nikmat pandang,positif
buka langgan olahraga suasana asri pandang cantik tidak lupa nyaman banget toilet tidak takut ngantri jual lupa bawa tumblr jual air minum sarap cobain deh mesti seru,positif
belum food court buka paving tidak jalan sempit joging,positif
tunjuk rutin seru,positif
yogyakarta istimewa,positif
masuknua gratis parkir motor rb jam atas nambah,positif
apik,positif
asik banget refreshing tempat luas adem spot jalan santai dudukduduk lihat kadang acara seni hidup suasana cocok banget quality time bareng keluarga teman fotofoto cantik,positif
suasana bagus olah raga pagi sore tempat luas giat event lokasi fotogenik jaman belanda,positif
olahraga view indah,positif
nyaman joging pagi sore pandang cantik,positif
sewa acara,positif
tunjuk hibur pentas seni cerita fenomena hidup masyarakat alur cerita kemas tarik tidak monoton saran anakanak sekolah mahasiswa,positif
bersih nyaman asa zaman dulukumpul teman dresscode daster foto ngrabukyuswa,positif
parkir jam tarif,negatif
sistem parkir buruk kondisi malam pdhl sewa mahal eh perkara karcis hilang denda ribu tetep kena parkir ribu gasuka,negatif
kelola parkir masuk drop off langsung kena cas rb mana bawah menit free,negatif
sayang banget tmpt udh bgs dropoff mnit ttp hrs byr rb udh rb kali brp mobil dropoff,negatif
nyore jogging pagi nyaman cuaca mendung golong belum pohon rindang masuk gratis bayar parkir,positif
bersih mushola wudhu toilet lokasi nya pisah wudhu,positif
nian olahraga kumpul teman giat positif,positif
nyaman jogging,positif
enak bangett,positif
cocok olga ringan temu warga,positif
bersih luas,positif
tempat cocok joging tipis tetep rame,positif
sayang terap parkir bayar tidak mahal biaya parkir,positif
bagus nan aesthetic suka konsep bangun nya aesthetic parkir luas gratis toilet musholla jga pagi jogging situ tidak espek tempat luas mancing situ jga btw,positif
inisiatif perintah wujud ruang buka hijau tidak ramah lingkung wadah ekspresi seni lokal unjung nikmat indah danau buat tematik area tunjuk seni fasilitas kreatif buka area kembang konsep lestari seni tradisi konservasi lingkung luas ha tbeg kelola upt kelola dinas budaya kundha kabudayan kawasan kembang tahap harap pusat kembang lestari seni lengkap pada desain rancang ciri khas indische klasik warna kawasan cagar tbeg resmi mei gubernur diy sri sultan hamengku buwono auditorium grha ada tbeg harap salah ungkit bangun wilayah sisi selatan,positif
tempat luas parkir luas jaga ramahsuasananya enakbrsih,positif
panas bangetkurang pohon,positif
seru nonton kali drama musikal jawa crt ringanlucu menghiburkeren pokok,positif
kesini udah petang gelap traking joging cocok sih sepi parkir luas kurang nya playground jdi sepi bersih,positif
plg embungtiket parkir hilangkemudian kasih liat stnk motor loket parkirnyatp lgs tidak pakek stnkharus bayar denda rboke lgs bayar rbeehh tidak sampe bayar ajamsh mbak nada bicaranyaditanya jam brp masuknyadicek komputer lamaentah dicekpadahal denda bayar rbsaya pikir bayar lgs beresgak uang etika karyawan parkir bicara nada sopan tidak meninggisaya kecewa layan loket parkirnyapadahal rombong sll olahraga diembungtp tidak kesana lagiterima kasih mbakmas loket parkirlain kali sopan bicara orangkita tidak gratis masuk,negatif
syukur kesini bingung dateng nggak ngejar air mancur museum benteng vredeburg air mancur baik lintas cahaya kurang tarik dapet undang yogyakarta culture alhasil museum cuman bentar trus cus tiket gratis dapet undang sbg komplimen bis yogyakarta heritage ketawa hibur teater malam yogyakarta besok rumah hibur makasih banget,positif
bersih bangun nyaman jalan sore jogging,positif
asik pagi joging jalan malam gedung tunjuk muat muas,positif
instagramable buaut olahraga nyaman sejuk,positif
area budaya nengok konten sliweran instagram kali tanggal oktober malam minggu dateng dapet complimentary invitation yogyakarta heritage track saksi tunjuk yogyakarta culture show kenes tempat oke banget bagus tata area malam cocok nengok tunjuk seni budaya pagi sore cocok banget jogging ngechill sembari nikmat sunset ohh iya lupa bawa uang cash parkir ya kemaren tidak salah baca jam parkir motor mobil sistem parkir mallada karcis bayar so mainmain raguragu ya cus bareng bestie pasang keluarga tidak,positif
nyaman joging nikmat live musik,positif
sayang tidak jogging sore jogging sore ubah bintang,negatif
kesini minggu joging senam seruu bareng ibuibu ramai sayang tidak suka parkir,positif
enak jalan kaki putar km parkir mobil jam,positif
ruang publik gratis banyak cocok jogging siang jogging kurang pohon jogging track matahari langsung hantam kulit siang,positif
nyantai lari bakar lemak luas sejuk foto oke,positif
olahraga ngadain acara seru kaya gin,positif
jumat oktober,positif
tempatbya nyaman olahraga jalan kaki,positif
mukena kurang awat,negatif
kaki banget nonton nama luduruk hahah au kurang tau lucu bangett emang komedi sii harap nonton acara kayak wayang org rama sinta bukan target tapi nonton lucu lepas penat oke bangeet,positif
bagusluas gersangpanas banget siang pohon belum tumbuh rindang,positif
jalan pagi jalan sore oye,positif
jalan sehat nyaman fasilitas pelihara butuh masyarakat kota,positif
gedung parkir akses nungguin jam gila fasilitas perintah kah minimal akses,negatif
mantab tempat luas joging nyaman adnya parkirnyasaya bantu adnya bpk bpk parkirtidak bingung naruh mtr keluarnyaterimkash bpk bpk parkirberkah amin,positif
baik manajemen parkir mobil tidak ramah antri dahulu motor,negatif
venue tidak parkir kendara jalur jalur mobil motor tidak tugas jaga urai antri,negatif
bintang khusus parkir mobil moga baca urus share alam kesini minggu keluarga masuk giat senang terik panas antri mobil bareng motor luama banget ngetnget mobil tidak hadeh depan sampe emosi pintu motor mobil jalan sempit mobil antri bareng motor mobil salip motor nggak sampe pintu saran kesini mending pake motor masuk giat kuliner senang saran loket parkir moga kelola kasih solusi unjung ramai,negatif
alam pagelaran seni bagus,positif
olah raga buru kuliner bersih asik olah raga pagi,positif
tempat bagus parkir luas bangun estetik cocok foto estetik bareng keluarga teman jogging jalan kaki fasilitas ragu toilet musholla estetik mohon maaf mukena wudhu perhati bersih depan,positif
nonton teater ngeri ngeri sedap takut ajak,positif
panas,negatif
lumayan bagus olahraga pagi sore fasilitas musolah toilet arena jual,positif
jogging sni pgi hri minggu pgi blik liat antri kendara panjng antri mna loket keluar kasi bwa sepeda antri panas,negatif
spot jogging yogykarta saji panorama beda keliling view gedung cerah gunung rapi merbabu olahraga tidak rasa cepat lelah fasilitas lengkap lengkap toilet musholla spot foto gedung tenant sayang kunjung tenant tutup minggu tenanttenant buka spot pasar minggu tidak pintu masuk bersih tingkat unjung karna sampah sera spot foto baharu rusak,positif
cocok jogging pagi bayar biaya parkir mobil jam rapi motor rapi,positif
bayar parkir elf bayar,positif
parking system lill bite trouble,positif
ruang publik segar selatan yogyakarta alam aktivitas warga padu harmonis masuk suasana langsung adem tenang bentang keliling pohon rindang jalur pedestrian cocok jogging pagi jalan santai sore tarik hijauhijauan kadang tunjuk seni pamer umkm komunitas lokal giat area buka arsitektur gaya indis elemen tradisional jawa sentuh khas bikin akrab estetik cocok healing tipistipis piknik keluarga duduk nikmat angin ngopi warung ramah anak lansia akses nyaman suasana aman cari tenang hidup pilih senang,positif
sbg sedia pamer tugas siyy,negatif
bagus keren,positif
nyaman jalan jalan pagi sore,positif
jos,positif
temoat jogging tarik kerap pakai acara,positif
kesana event pasar merdeka tempat asyik event event kunjung street food event olahraga zumba konsel sana olah raga sore sore olahraga view,positif
nek udu akamsi opo satpam raoleh melu mancing to wkwk wedi kentekan iwak mas satpam alibi raoleh mancing awak dewe yo mancing neng sisih lor,negatif
tarik joging libur suasana nyaman bersih,positif
tempat luas bagus minus susah temu duduk ngobrol santai pinggir waduk saran mohon timbang alokasi duduk orang senang bercengkrama duduk pinggir waduk tidak keliling waduk tidak sepi unjung mohon maksimal guna bangun gedung fasum buka mohon jam buka event mohon tidak misinformasi manajement bangun sarana pra aarana sdm sda lokasi,negatif
jogging track nyaman jarak keliling komunitas senam rutin senam event gelar pekan pasar minggu jalan jadoel sedia harga bahagia,positif
bagus tempat nyaman dingin dalam ruang luar siang panas kulit,positif
malam sempat tonton tunjuk drama hokse culture park yogyakarta benarbenar senang suasana hangat penuh ceria padu udara sejuk alam tonton nyaman cerita drama tarik bawa alur alir dialog ringan penuh makna main tampil total ekspresi akting hidup tonton bawa suasana cahaya musik iring adegan dramatis tempat nyaman ramah keluarga cocok habis malam hibur kualitas,positif
lumayan acara kita jual buku gitu,positif
kesini jam malam untung tutup jam dibolehin masuk jalan muter trs pulang malam suasana sepi enakk refreshing,positif
bangun khas sirat nuansa natural penuh santun empati,positif
acara seni lokasi lari pagi kursi duduk tidak sedia,positif
nonton kenes beli tiket reservasi online biar tidak habis tempat estetik nyaman nonton tunjuk parkir luas pamer gitu kunjung lawang sewu versi yogyakarta gaya bangun bagus tambah daya tarik,positif
good food,positif
cocok jogging,positif
nyaman santai jogging wisata,positif
tiket gratis nonton yogyakarta culture show yogyakarta heritage track seru tarik,positif
luas sejuk,positif
tengah tepat belah utara terminal keliling buat jalan tata rapi spot foto bagus panggung seni event kuliner minggu ruang parkir luas,positif
enak lari syahdu,positif
nya bersih enak olahraga pagi,positif
tarik syahdu,positif
tempat luas nyaman olahraga pekan parkir lumayan luas toilet mushola yogyakarta butuh ruang buka publik harap moga bersih awat,positif
kunjung even pasar malam indonesia kawasan parkir luas even atas kapasitas tidak pada membludak trotoar bahu jalan kawasan tata amphitheater sisi selatan tanah lapang luas sisi utara bangun grha sisi fasilitas publik toilet mushola sedia lengkap nyaman nikmat suasana malam,positif
sore pentas seni olga sore parkir olga pagi,positif
kesini daa event kadin diy dinas koperasi gojek bagus tempat luas acara seru,positif
sejuk,positif
tempat nyaman sejuk luas pamer parkir aman satpam cocok me time olahraga weekend kadang rame,positif
asik tempat,positif
interesting show,positif
asyik nyoreapalgi tunjuk seni minggu tunjuk seni lihat jadwal instagram nya,positif
udara seger tracing lari jalan nyaman,positif
tempat luas seru culture show nya keren,positif
jalan pagi,positif
event tarik,positif
bagus rapi tidak bau bersih gedung acara panggung amphitheater keren pagi joging,positif
parkir nya gaes bersih nya tracking jalan bagus,positif
tempat asik bersih olga pagi,positif
lumayan luas cocok santa joging even budanya,positif
lokasi indah,positif
enak jogging pagi tempat luas bersih,positif
bagus banget,positif
hawaii service rocks,positif
bagus jogging masyarakat sekitar lainyadisini lumayan nyawan tarik bentuk kelok kelok luas tarik padu gedung aelalu event event ramai suasana yogykarta,negatif
tidak,positif
tempat tarik refreshing jogging,positif
cocok olahragasabtu minggu ramaiskrg parkir bayar,positif
lokasi konsep kawasan selatan luas hektare gabung fungsi konservasi air ruang buka hijau fasilitas apresiasi seni utama jogging track area tunjuk seni fasilitas milik kapasitas air jogging track toilet musala area parkir lampu terang amphitheater outdoor tampung orang rencana bangun graha indoor daya tarik manfaat ruang multifungsi konservasi air olahraga ruang komunitas pusat giat seni aktif giat umkm pamer pasar minggu pagi sunmor jual produk lokal alam unjung ulas online media lokal sosial nyaman jogging foto nikmat acara pandang kesan asri instagramable simpul destinasi madu fungsi lingkung ekonomi lokal cocok olahraga ringan giat komunitas nikmat suasana sore lebih utama ruang multifungsi dukung umkm tantang fasilitas indoor belum sepenuh sedia ulas publik minim,positif
ruang publik madu indah alam fasilitas rekreasi nuansa seni lokasi strategis kawasan destinasi suguh panorama tenang jalur pejal kaki tata rapi kawasan hijau asri fasilitas golong lengkap area duduk nyaman jalur jogging spot foto instagramable favorit olahraga ringan santa panggung giat seni pamer tunjuk muas alam unjung bersih jaga tata ruang rapi suasana ramah keluarga pilih ideal warga lokal wisatawan padu hibur edukasi relaksasi,positif
cakeup tempat luas bersih moga event,positif
info tidak parkir parkir liar mana,negatif
kesana bazaar bukujd yha fokus langsung gedung buru bukuhehhe ok viewnyataman agenda,positif
keren nii org pacar weekend wkwkw kasih odong bebe donk tahan jiwa bocilku,positif
yogyakarta keren,positif
bagus olahraga,positif
siang puanas poll malem indah pake banget,positif
foodcortnya belum buka tempat asik olah raga bareng keluarga rute nya lumaya muter,positif
cocok tonton tunjung seni budayatempatnya nyaman eksotis,positif
bangun bagus,positif
kesini event pasar malam expo daerah rame banget jalan lumayan parkir nyampe kuliner seru makan tradisional sampe modern gaada htm parkir rb ngerasa gerah sana gara gara jalan,positif
bagus luas moga awat cocok ada event,positif
tempat cocok family time tengah jalan kaki lari pagisore weekend diadain event bulan tarik,positif
suasana embung jos,positif
suasana megah asri air tambah segar suasana graha nya megah bau kursi cat nya pasar malam nya dagang angkring mana parkir nya fish market,positif
kunjung event tidak magis nikmat ramai sepi nal event fsy selenggara moga jaga bersih manfaat,positif
kesana bazar buku gedung bagus,positif
dr yogyakarta but was good place yah liat,positif
bagus tempat siang panass banget parkir luas gaada iupannya,positif
asik olah raga jalan kaki nyaman,positif
kesini event buku tau luas embung parkir luas,positif
luas nyaman olahraga musholla parkir luas halte bus trans yogyakarta,positif
tempat luas cocok bikin bazar adem ac central jga pokok love,positif
kesini jalan pagi main badminton enak tempat parkir kendara luas,positif
masuk bengong wow,positif
sport friendly view spot foto tidak bosan,positif
santai nikmat senja,positif
gedung baguss,positif
festival sastra,positif
datang pagi nyaman suasana,positif
is lovely public space there are mosque and public toilet outside the building,positif
tempat luas enak nyantai malam,positif
grha serene escape in beautiful gardens tranquil atmosphere and stunning views perfect for relaxation and nature lovers highly recommended,positif
enak jalan putar kurang langkah pandang bagus,positif
tempat bagus cocok olahraga sedia hall pentas seni,positif
kali main keren sih kayak fasum keren tinggal jogging track kayak bagus deh,positif
oke nihh bwt bikin event jogjakarta akses kab bantul luas kondusif event outdoor indoor,positif
jalan jalan sore enak sih,positif
strategis joging nonton temu dll,positif
salah alternatif joging nyaman joging tracknya pandang bagus giat seni hadir,positif
malem acara gamelan festival tempat emng cocok ngadain event moga usefull kunjung,positif
hidden gem in the city at night is peaceful and scenic escape tucked away in visiting this park at night is truly beautiful experience the calm water of the reservoir reflects the soft lights around creating serene and almost magical atmosphere the walking paths are welit making perfect for an evening stroll or simply enjoying the cool night breeze one of the things appreciate most is how clean and wellmaintained the park is there no litter around and the greenery looks healthy and fresh even in the evening clear that the local community and staff take pride in keeping the park pleasant for visitors whether youre looking for quiet place to unwind or peaceful spot to sit and reflect at night offers just that lovely example of how urban green spaces can be both functional and beautiful,positif
panas air mineral makasih,positif
pasar kangen ahad mohon banyak sampah syukur bikin khusus botol plastik bekas,positif
keren,positif
neng jalan sehat ruang buka hijau rindu warga terimakasih,positif
pagi joging sore nonton tunjuk pamer main manfaat,positif
unjung yogyakarta gamelan festival bangun belum operasi,positif
dar info jogging boleh pagi ya,positif
tempat bersih moga jaga bersih,positif
joging enak banget sejuk daerah,positif
event yogyakarta gamelan festival tempat asik banget gedung concert hall keren,positif
hadir acr festival gamelan tempat enak syg tanah mayan debu rumput kurang rata hati bawa bocil jgn pagar lebar takut jatuh,positif
olah raga suasana tidak crowded better weekdays weekend ramai track jalan lumayan berkelokcocok family,positif
enak bikin ivend,positif
bagus olahraga joging macam santai keluarga enak pagi jam sore jam,positif
cocok jogging jalan pagi kalang usia pgn jogging not recommend weekend krna rame puter jarak meter,positif
lumayan cari situasi beda sport pagi sore tmpt bersih lumayan luas,positif
olahraga nyaman,positif
pandang bagus banget cerah fasilitas tunjang bagus operasional miris bentar banget,negatif
ruang publik mantep dar jogging pagi ramean sejuk no polusi engga bayar parkir running kurang recommend sihh,positif
udah tau jaman bangun tai kesana bagus banget tempat jogging jalan kaki temennya olahraga kesini bawa minum ya pagi belum buka warung hehehe,positif
spot olahraga jalan kaki jogging recommended parkir luas gedung pamer tunjuk seni hawa dingin sejuk spot,positif
lumayan mutere sip olah raga,positif
ruang buka senang anakanak,positif
cocok banget olahraga santai jalan kaki jogging lari muternya luaass banget tempat bersih kurang rindang hias tidak awat banyakin bunga bagus lo titik jalan sempit open pagi sore open mesti rame banget tambah umkm gitu kesana tarik buka sore event deh kayak bersih jaga bersih,positif
kirain free warga cuman sarana bisnis jam kunjung cuman jam an pagi lebih sewa perlu bisnis nama,negatif
asik sih,positif
parkir luas tempat bersih senang jogging tunjuk seni untung dengar main musik gamelan,positif
bangun bersih bagus nuansa kolonial pagelaran kurang cafe makan kopi enak asik nongkrong,positif
tempat cocok jogging track,positif
cantik suasana jalan pagi estetik parkir gratis moga jual spot kedai kosong gabisa jajan,positif
tempatnua bersih cocok mentas liat sunset,positif
tempat luas banget bagus acara kecil,positif
nuansa luas nyaman asri,positif
bagus ifen biar hidip,positif
nyaman rame joging sabtu minggu pagi,positif
salah ruang publik yogykarta hasil madu fungsi ekologis rekreatif kultural lanskap letak wilayah selatan yogykarta contoh konkret ruang publik bas inklusif alami inspiratif model ruang tunjuk alternatif layak jadi inspirasi kotakota,positif
asyik bersihparkir luas yuk,positif
tempat senang jalan kaki pagi,positif
baguss banget,positif
ramai unjung cocok or rekreasi jalan santai sifat jalan bener ngejar hr kurang sesuai lari bbrapa jalur sempit lantai tidak,positif
cocok olahraga lari jalan kaki keliling,positif
awal bagus tambah wisata lokal tambah dana tuk kuat aman bawa anak bahaya air tambah arena main tuk anak anak yak,positif
jalan nyaman area jogging track kondisi conblock toilet bersih parkir luas yogyakarta outdoor kayak gin antusiasme warga pagi kumpul tumpah ruah bagi tengah pakbu keruk biar tidak dangkal lumpur numpuk bikin aroma tidak sedap area utara,positif
jogging sore asik,negatif
bagus jalan santai,positif
public hall fasilitas lengkap amphiteater ruang ganti hall indoor mushola parkir luas track jalan kaki toilet cocok ada acara pentas seni outdoor amphiteaternya,positif
bagus nambah referensi selenggara acara yogyakarta selatan tampil sih lumayan desain ruang audio visual nya sip,positif
tempat lumayan nyaman olahraga jalan kaki weekend ramairamainya tidak nyaman jogging parkir htm free tidak depan moga yogyakarta banyak public places,positif
olahraga jalan jos mantab,positif
bagus tempat jaga bersih lingkung sapras nya tawan,positif
good place good vibe,positif
acara anaksaya initempat estetik tarik foto,positif
tempat jogging lumayan putar dpt km ski si alat ukur kurang akurat toliet mudah temu batas,positif
buka nyaman keluarga,positif
many place in here can go to selasar amphiteater grha and cinderamata store or maybe can jogging in here with view and can sorround this area,positif
nggak pake bayar parkir ni ruang publik ramah desain oke jogging track kualitas suka td nggak pake bayar parkir gin ni ruang publik nggak pelit fasilitas nggak banyak bayar good job,positif
jogging tempat luas bagus bersih nyaman parkir luas lengkap toilet moga jaga bersih,positif
cocok lari pagi dar jalan jalan bersih nya tidak sampah udah saring atas lintas muter km an tidak jual minum pastiin bawa beli dlu parkir gratis,positif
